Date,Clicks,Impressions,CTR,Position
2026-01-01,1,13,7.69%,26
2026-01-02,0,24,0%,24.6
2026-01-03,0,14,0%,13.5
2026-01-04,0,11,0%,8
2026-01-05,2,16,12.5%,13.5
2026-01-06,1,27,3.7%,8.9
2026-01-07,1,17,5.88%,13.6
2026-01-08,0,10,0%,12.1
2026-01-09,3,16,18.75%,12.8
2026-01-10,0,10,0%,24.2
2026-01-11,0,5,0%,22.8
2026-01-12,0,15,0%,11.6
2026-01-13,0,13,0%,6.8
2026-01-14,0,8,0%,25.4
2026-01-15,2,15,13.33%,13.1
2026-01-16,0,3,0%,9
2026-01-17,0,6,0%,28.8
2026-01-18,0,5,0%,23.4
2026-01-19,1,13,7.69%,25.8
2026-01-20,0,13,0%,17.8
2026-01-21,2,9,22.22%,30.4
2026-01-22,2,10,20%,34.3
2026-01-23,0,5,0%,14
2026-01-24,1,10,10%,18
2026-01-25,0,3,0%,39
2026-01-26,1,9,11.11%,16.1
2026-01-27,2,8,25%,12
2026-01-28,0,11,0%,15
2026-01-29,1,6,16.67%,20.7
2026-01-30,1,6,16.67%,11.7
2026-01-31,0,3,0%,17.7
2026-02-01,0,9,0%,37.6
2026-02-02,0,9,0%,22.4
2026-02-03,0,8,0%,17.6
2026-02-04,41,80,51.25%,5.2
2026-02-05,2,18,11.11%,19.6
2026-02-06,1,9,11.11%,24.4
2026-02-07,0,6,0%,21
2026-02-08,1,7,14.29%,18.6
2026-02-09,0,6,0%,24.7
2026-02-10,2,9,22.22%,6.7
2026-02-11,2,7,28.57%,6.9
2026-02-12,1,13,7.69%,12.2
2026-02-13,1,6,16.67%,21.3
2026-02-14,2,10,20%,13.3
2026-02-15,1,16,6.25%,45.2
2026-02-16,1,9,11.11%,53.4
2026-02-17,0,9,0%,28.9
2026-02-18,1,4,25%,43.8
2026-02-19,0,7,0%,20
2026-02-20,1,11,9.09%,6.6
2026-02-21,0,4,0%,6
2026-02-22,2,18,11.11%,14.3
2026-02-23,3,20,15%,13.6
2026-02-24,1,19,5.26%,25.2
2026-02-25,1,9,11.11%,36.1
2026-02-26,2,11,18.18%,14.4
2026-02-27,1,7,14.29%,38.3
2026-02-28,1,8,12.5%,45.8
2026-03-01,1,19,5.26%,32.9
2026-03-02,3,24,12.5%,5.3
2026-03-03,0,21,0%,32
2026-03-04,1,45,2.22%,44.5
2026-03-05,3,36,8.33%,55.6
2026-03-06,0,14,0%,14.7
2026-03-07,0,17,0%,52.5
2026-03-08,0,17,0%,59.6
2026-03-09,2,30,6.67%,33.5
2026-03-10,0,31,0%,36
2026-03-11,2,51,3.92%,43.3
2026-03-12,0,23,0%,53.6
2026-03-13,2,85,2.35%,24
2026-03-14,0,13,0%,51.9
2026-03-15,0,2,0%,52.5
2026-03-16,2,49,4.08%,16.5
2026-03-17,2,26,7.69%,26.7
2026-03-18,2,17,11.76%,17.6
2026-03-19,1,15,6.67%,41.6
2026-03-20,0,5,0%,27.2
2026-03-21,0,8,0%,20.1
2026-03-22,0,6,0%,7.2
2026-03-23,2,10,20%,17.3
2026-03-24,1,13,7.69%,24.4
2026-03-25,0,3,0%,4.7
2026-03-26,3,12,25%,20.6
2026-03-27,3,6,50%,9.8
2026-03-28,1,8,12.5%,25.4
2026-03-29,0,10,0%,16.8
2026-03-30,0,6,0%,14.3
2026-03-31,2,15,13.33%,8.3
2026-04-01,0,9,0%,25.3
2026-04-02,2,11,18.18%,16.3
2026-04-03,1,11,9.09%,11.3
2026-04-04,4,14,28.57%,7
2026-04-05,2,5,40%,2
2026-04-06,1,8,12.5%,16.1
2026-04-07,1,8,12.5%,7.2
2026-04-08,1,5,20%,5.8
2026-04-09,0,7,0%,6.4
2026-04-10,1,8,12.5%,4.9
2026-04-11,0,4,0%,5
2026-04-12,1,2,50%,7.5
2026-04-13,1,16,6.25%,10.4
2026-04-14,5,14,35.71%,6.7
2026-04-15,1,17,5.88%,6.1
2026-04-16,5,29,17.24%,6.8
2026-04-17,0,14,0%,6.6
2026-04-18,1,18,5.56%,5.7
2026-04-19,4,14,28.57%,5.8
2026-04-20,2,15,13.33%,8.9
2026-04-21,1,11,9.09%,24.5
2026-04-22,1,18,5.56%,7.1
2026-04-23,2,11,18.18%,6.8
2026-04-24,2,10,20%,4.7
2026-04-25,1,10,10%,3.9
2026-04-26,1,9,11.11%,7.2
2026-04-27,2,24,8.33%,7.1
2026-04-28,2,12,16.67%,29.8
2026-04-29,4,14,28.57%,18.6
2026-04-30,3,12,25%,8.9
2026-05-01,1,14,7.14%,9.6
2026-05-02,0,10,0%,8.2
2026-05-03,0,11,0%,20.9
2026-05-04,1,8,12.5%,8.4
2026-05-05,3,14,21.43%,4.3
2026-05-06,2,10,20%,5.8
2026-05-07,3,26,11.54%,12.6
2026-05-08,1,19,5.26%,13.5
2026-05-09,3,15,20%,4.9
2026-05-10,0,11,0%,10.1
