URL,Status,RedirectTarget,Notes
"http://mypasswordchecker.com/","301","https://mypasswordchecker.com/","Always Use HTTPS — was 200 at baseline"
"https://www.mypasswordchecker.com/","301","https://mypasswordchecker.com/","www-to-apex; query string preserved — was 200 duplicate at baseline"
"https://www.mypasswordchecker.com/about.html","301","https://mypasswordchecker.com/about.html","hop 1 of 2 (www→apex, then .html→clean); worst chain = 2 hops as planned"
"https://mypasswordchecker.com/index.html","301","https://mypasswordchecker.com/","index-html-to-root — was 307 at baseline"
"https://mypasswordchecker.com/free-password-checker","301","https://mypasswordchecker.com/","D3 merge; page file deleted 209bfb9"
"https://mypasswordchecker.com/free-password-checker.html","301","https://mypasswordchecker.com/","D3 merge"
"https://mypasswordchecker.com/api-docs","301","https://mypasswordchecker.com/docs","D2 merge; page file deleted 209bfb9"
"https://mypasswordchecker.com/api-docs.html","301","https://mypasswordchecker.com/docs","D2 merge"
"https://mypasswordchecker.com/about.html","301","https://mypasswordchecker.com/about","strip-html-extension — was 307 at baseline"
"https://mypasswordchecker.com/premium.html","301","https://mypasswordchecker.com/premium","strip-html-extension"
"https://mypasswordchecker.com/dashboard.html?action=quantum_purchase","307","/dashboard?action=quantum_purchase","EDGE CASE: .html+query bypasses the *.html wildcard, worker 307 preserves query — functionally fine, accepted"
"https://mypasswordchecker.com/dashboard","200","","X-Robots-Tag: noindex nofollow — was indexable at baseline"
"https://mypasswordchecker.com/dashboard?action=quantum_purchase","200","","X-Robots-Tag present with query too"
"https://mypasswordchecker.com/numbers","200","","ad funnel untouched; no noindex header (correct — key-gated, robots-disallowed)"
"https://mypasswordchecker.com/","200","","no X-Robots-Tag (correct); serves rebuilt 1a homepage post-purge"
"https://mypasswordchecker.com/password-cracker-test","200","","new page live"
"https://mypasswordchecker.com/generate-phonetic","200","","rebuilt page live incl. 4-spot ladder + diff toggle"
