Date,Source,Impressions,Clicks,CTR,Position,Notes
2026-07-25,Google,719,52,7.2%,20.5,Pre-rebuild July baseline (monthly)
2026-08-01,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 1 post-rebuild
2026-08-01,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 1 post-rebuild (IndexNow live)
2026-08-08,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 2 post-rebuild
2026-08-08,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 2 post-rebuild
2026-08-15,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 3 post-rebuild
2026-08-15,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 3 post-rebuild
2026-08-22,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 4 post-rebuild
2026-08-22,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 4 post-rebuild
2026-08-29,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 5 post-rebuild
2026-08-29,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 5 post-rebuild
2026-09-05,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 6 post-rebuild
2026-09-05,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 6 post-rebuild
2026-09-12,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 7 post-rebuild
2026-09-12,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 7 post-rebuild
2026-09-19,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 8 post-rebuild
2026-09-19,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 8 post-rebuild
2026-09-26,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 9 post-rebuild
2026-09-26,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 9 post-rebuild
2026-10-03,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 10 post-rebuild
2026-10-03,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 10 post-rebuild
2026-10-10,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 11 post-rebuild
2026-10-10,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 11 post-rebuild
2026-10-17,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 12 post-rebuild
2026-10-17,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 12 post-rebuild
2026-10-24,Google,[TRACK],[TRACK],[TRACK],[TRACK],Week 13 post-rebuild
2026-10-24,Bing,[TRACK],[TRACK],[TRACK],[TRACK],Week 13 post-rebuild
