Top pages,Clicks,Impressions,CTR,Position
https://mypasswordchecker.com/,299,2812,10.63%,17.58
https://mypasswordchecker.com/free-password-checker,4,465,0.86%,34.18
https://mypasswordchecker.com/about,1,253,0.4%,8.89
https://mypasswordchecker.com/password-api,1,89,1.12%,21.09
https://www.mypasswordchecker.com/dashboard,1,23,4.35%,40.26
https://mypasswordchecker.com/generate-phonetic,0,87,0%,10.86
https://mypasswordchecker.com/about.html,0,41,0%,4.73
https://mypasswordchecker.com/free-password-checker.html,0,41,0%,4.73
https://mypasswordchecker.com/password-api.html,0,41,0%,4.73
https://mypasswordchecker.com/pricing,0,36,0%,7.78
https://mypasswordchecker.com/premium,0,33,0%,6.12
https://mypasswordchecker.com/docs,0,32,0%,12.53
https://mypasswordchecker.com/terms,0,29,0%,6.55
https://mypasswordchecker.com/premium.html,0,26,0%,4.92
https://mypasswordchecker.com/privacy,0,24,0%,8.21
https://mypasswordchecker.com/api-docs,0,22,0%,27.55
https://mypasswordchecker.com/pricing.html,0,20,0%,4.6
https://mypasswordchecker.com/dashboard,0,17,0%,7.18
https://mypasswordchecker.com/security,0,14,0%,7.07
https://www.mypasswordchecker.com/api-docs.html,0,4,0%,6
https://mypasswordchecker.com/disclaimer,0,3,0%,7.67
https://mypasswordchecker.com/domains,0,2,0%,9
https://www.mypasswordchecker.com/api-docs,0,1,0%,4
http://mypasswordchecker.com/password-api.html,0,1,0%,9
https://mypasswordchecker.com/dashboard.html?action=quantum_purchase,0,1,0%,11
